year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
2005,R3,2005,1,Grade 4,ALC:AB,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,52.7245218900273,1,0
2005,R3,2005,1,Grade 4,ALC:AD,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,4.46951863569668,1,0
2005,R3,2005,1,Grade 4,ALC:AP,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,22.2985596859378,1,0
2005,R3,2005,1,Grade 4,ALC:BB,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,47.2754781099727,1,0
2005,R3,2005,1,Grade 4,MN:MN,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,207.75203301297,1,0
2005,R3,2005,1,Grade 4,ALC:AB,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,62.556885301412,1,0
2005,R3,2005,1,Grade 4,ALC:AD,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,6.1912287063339,1,0
2005,R3,2005,1,Grade 4,ALC:AP,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,29.6846757997756,1,0
2005,R3,2005,1,Grade 4,ALC:BB,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,37.443114698588,1,0
2005,R3,2005,1,Grade 4,MN:MN,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,217.071528896937,1,0
2005,R3,2005,1,Grade 4,ALC:AB,RED,4,RRPCM,DE,Delaware,TOTAL,All students,1,All students,73.318193483501,1,0
2005,R3,2005,1,Grade 4,ALC:AD,RED,4,RRPCM,DE,Delaware,TOTAL,All students,1,All students,6.60351072617322,1,0
2005,R3,2005,1,Grade 4,ALC:AP,RED,4,RRPCM,DE,Delaware,TOTAL,All students,1,All students,34.2177542489065,1,0
